ViewProblem.aspx?Problem=98322	【聊天】修复快捷道具界面格子上的数字的层级错误	testing
ViewProblem.aspx?Problem=98318	调整罗刹的普攻技能	testing
ViewProblem.aspx?Problem=98337	宠物忠诚度丹药tips调整	testing
ViewProblem.aspx?Problem=98330	增加传功链接粒子	testing
ViewProblem.aspx?Problem=98331	boss防壁显示不正常bug修复	testing
ViewProblem.aspx?Problem=98324	猎苑副本水片材质球有问题，重新打包上传	testing
ViewProblem.aspx?Problem=98310	添加螃蟹洞、风云劫、夜探宁海县部分boss护盾效果 降低狐狸精远攻释放距离	testing
ViewProblem.aspx?Problem=98311	调整坐骑野猪、山豺、蝎子、螳螂、搬山蟹的技能图标	testing
ViewProblem.aspx?Problem=98307	天赋内容优化修改	testing
ViewProblem.aspx?Problem=98352	新手教学修改	testing
ViewProblem.aspx?Problem=98351	活动pvp提示bug	testing
ViewProblem.aspx?Problem=98292	[分解]分解图纸和装备报错	testing
black	43356	xpc	2016-11-25 13:34:21	"""windows 编译 删除过期目录修改"""	black
black	43422	heqiang	2016-11-25 14:48:39	"""Merged revision(s) 42285, 42402, 42633, 42719, 42744, 42746, 42887, 42942, 43142 from trunk/client/xxsy:
素材替换
........
新增半身像
........
添加素材
........
正文字体替换成方正粗圆，标题字体替换成华文行楷
........
添加场景loading图
........
新增loading图
........
资源替换
........
新增半身像
........
新增素材
........
"""	black
black	43424	heqiang	2016-11-25 14:50:21	"""Merged revision(s) 42276 from trunk/client/xxsy:
排行榜界面调整
........
"""	black
black	43451	huangbohan	2016-11-25 15:37:50	"""Merged revision(s) 43107, 43239, 43437 from trunk/client/xxsy:
时装tips修改
........
修改支线任务石头蒙皮
........
1. 懒书生显示出名称
2. 懒书生支线错别字修改
3. 成仙记（三、四、五）接取前提从13、16、17级改为24、27、30级
........
"""	black
41234	0	todo
41408	01209	todo
41409	01209	todo
41411	01209	todo
41414	01209	todo
41416	01209	todo
41417	01209	todo
41419	01209	todo
41422	01209	todo
41435	01220;01209_1	todo
41441	01209	todo
41446	01209	todo
41447	01209	todo
41448	01209	todo
41449	01209	todo
41452	01209	todo
41453	01209	todo
41471	01209	todo
41472	01209	todo
41480	01209	todo
41483	01209	todo
41486	01209	todo
41488	01220;01209_1	todo
41489	01209	todo
41490	01209	todo
41496	01209	todo
41498	01209	todo
41499	01209	todo
41502	01209	todo
41511	01209	todo
41516	01209	todo
41517	01209	todo
41519	01209	todo
41522	01209	todo
41523	01209	todo
41524	01209	todo
41526	01220;01209_3	todo
41527	01209	todo
41528	01209	todo
41530	01209	todo
41533	01209	todo
41534	01209	todo
41537	01209	todo
41542	01209	todo
41545	01209	todo
41546	01209	todo
41547	01209	todo
41550	01209	todo
41551	01209	todo
41553	01209	todo
41555	01209	todo
41557	01209	todo
41560	01209	todo
41562	01209	todo
41566	01209	todo
41570	01209	todo
41571	01209	todo
41572	01209	todo
41573	01209	todo
41574	01209	todo
41575	01209	todo
41576	01209	todo
41578	01209	todo
41582	01209	todo
41585	01209	todo
41588	01209	todo
41589	01209	todo
41593	01220	todo
41594	01209	todo
41605	01220;01209	todo
41612	01209;01205_4	todo
41620	01205_4;01209	todo
41631	01220;01209_1	todo
41633	01220;01209_1	todo
41640	01220;01209_2	todo
41641	01220;01209_2	todo
41642	01220;01209_2	todo
41644	01220;01209_2	todo
41646	01220;01209_2	todo
41647	01220;01209_1	todo
41654	01220;01209_2	todo
41663	01220;01209_2	todo
41665	01220;01209_2	todo
41666	01220	todo
41670	01219	todo
41673	01220;01209_2	todo
41682	01220	todo
41688	01220	todo
41689	01220	todo
41691	01220	todo
41693	01220;01209_3	todo
41694	01219	todo
41695	01220;01209_2	todo
41696	01220	todo
41699	01220	todo
41700	01220	todo
41701	01220	todo
41702	01220	todo
41703	01220	todo
41704	01220;01209_2	todo
41705	01220	todo
41706	01220;01209_2	todo
41729	01220	todo
41730	01220	todo
41732	01220	todo
41733	01220	todo
41734	01220	todo
41736	01220	todo
41737	01220	todo
41738	01220	todo
41740	01220	todo
41741	01220	todo
41742	01220	todo
41743	01220;01209_1	todo
41753	01220	todo
41754	01220	todo
41755	01220	todo
41756	01220;01209_1	todo
41758	01220;01209_1	todo
41762	01220;01209_2	todo
41763	01220;01209_1	todo
41767	01220;01209_1	todo
41770	01220;01209_1	todo
41773	01220;01209_2	todo
41783	01220;01209_1	todo
41791	01220	todo
41792	01220;01209_1	todo
41804	01220;01209_1	todo
41806	01220;01209_2	todo
41808	01220;01209_2	todo
41812	01220;01209_1	todo
41830	01220	todo
41832	01220;01209_2	todo
41836	01220;01209_2	todo
41837	01220;01209_2	todo
41851	01220	todo
41852	01220	todo
41853	01220	todo
41854	01220	todo
41859	01220;01209_2	todo
41862	01220;01209_2	todo
41884	01220	todo
41885	01220	todo
41887	01220	todo
41889	01220	todo
41891	01220	todo
41894	01220	todo
41895	01220	todo
41907	01220;01209_2	todo
41909	01220;01209_2	todo
41914	01220;01209_1	todo
41939	01220;01209_2	todo
41966	01220;01209_2	todo
41994	01220	todo
41995	01220	todo
42007	01220;01209_2	todo
42015	01220;01209_2	todo
42017	01220;01209_2	todo
42019	01220;01209_2	todo
42022	01220	todo
42023	01220	todo
42027	01220;01209_2	todo
42028	01220	todo
42029	01220	todo
42030	01220;01209_2	todo
42034	01220;01209_2	todo
42035	01220	todo
42036	01220;01209_2	todo
42038	01220;01209_2	todo
42040	01220;01209_2	todo
42041	01220;01209_2	todo
42044	01220	todo
42047	01220;01209_2	todo
42050	01220;01209_2	todo
42057	01220;01209_2	todo
42059	01220	todo
42062	01220;01209_2	todo
42064	01220;01209_2	todo
42066	01220;01209_2	todo
42067	01220;01209_2	todo
42068	01220;01209_2	todo
42070	01220;01209_2	todo
42071	01220;01209_2	todo
42072	01220;01209_3	todo
42074	01220	todo
42075	01220;01209_3	todo
42077	01220;01209_2	todo
42085	01220;01209_2	todo
42092	01220;01209_3	todo
42098	01220;01209_2	todo
42105	01220;01209_2	todo
42113	01220;01209_3	todo
42122	01220;01209_3	todo
42127	01220;01209_3	todo
42133	01220;01209_3	todo
42134	01220;01209_3	todo
42135	01220;01209_3	todo
42140	01220;01209_3	todo
42141	01220;01209_3	todo
42142	01220;01209_3	todo
42145	01220;01209_3	todo
42147	01220;01209_3	todo
42148	01220;01209_3	todo
42150	01220;01209_3	todo
42151	01220;01209_3	todo
42155	01220;01209_3	todo
42156	01220;01209_3	todo
42158	01220;01209_3	todo
42159	01220;01209_3	todo
42161	01220;01209_3	todo
42164	01220;01209_3	todo
42165	01220;01209_3	todo
42172	01220;01209_2	todo
42174	01220;01209_3	todo
42177	01220;01209_3	todo
42179	01220;01209_3	todo
42180	01220;01209_3	todo
42188	01220;01209_3	todo
42189	01220;01209_3	todo
42190	01220;01209_3	todo
42203	01220;01209_3	todo
42214	01220;01209_3	todo
42240	01220;01209_3	todo
42242	01220;01209_3	todo
